"Route","AuthDetected","RBACDetected","AuditDetected"
"app\api\admin\test\route.ts","False","True","False"
"app\api\ai\route.ts","False","False","False"
"app\api\analytics\route.ts","False","False","False"
"app\api\auth\forgot-password\route.ts","False","False","False"
"app\api\auth\login\route.ts","False","False","False"
"app\api\auth\logout\route.ts","True","False","False"
"app\api\auth\me\route.ts","True","True","False"
"app\api\auth\refresh\route.ts","False","False","False"
"app\api\auth\reset-password\route.ts","False","False","False"
"app\api\automation\route.ts","False","False","False"
"app\api\bookings\route.ts","False","False","False"
"app\api\bookings\assign-driver\route.ts","False","False","False"
"app\api\bookings\cancel\route.ts","False","False","False"
"app\api\bookings\create\route.ts","True","True","False"
"app\api\bookings\delete\route.ts","False","False","False"
"app\api\bookings\history\route.ts","False","False","False"
"app\api\bookings\status\route.ts","True","True","False"
"app\api\bookings\update\route.ts","False","False","False"
"app\api\bookings\[id]\route.ts","False","False","False"
"app\api\corporate\route.ts","False","False","False"
"app\api\corporate\approvals\route.ts","False","False","False"
"app\api\corporate\budgets\route.ts","True","True","False"
"app\api\corporate\travel-policy\route.ts","False","False","False"
"app\api\crm\activities\route.ts","True","True","False"
"app\api\crm\leads\route.ts","True","True","False"
"app\api\crm\opportunities\route.ts","True","True","False"
"app\api\crm\pipeline\route.ts","True","True","False"
"app\api\crm\tasks\route.ts","True","True","False"
"app\api\customers\route.ts","False","False","False"
"app\api\customers\bookings\route.ts","False","False","False"
"app\api\customers\profile\route.ts","False","False","False"
"app\api\customers\search\route.ts","False","False","False"
"app\api\customers\[id]\route.ts","False","False","False"
"app\api\documents\route.ts","False","False","False"
"app\api\driver\dashboard\route.ts","False","False","False"
"app\api\driver\documents\route.ts","False","False","False"
"app\api\driver\earnings\route.ts","False","False","False"
"app\api\driver\location\route.ts","False","False","False"
"app\api\driver\notifications\route.ts","False","False","False"
"app\api\driver\profile\route.ts","False","False","False"
"app\api\driver\sos\route.ts","False","False","False"
"app\api\driver\today\route.ts","False","False","False"
"app\api\driver\trips\route.ts","False","False","False"
"app\api\drivers\route.ts","False","True","False"
"app\api\finance\overview\route.ts","False","False","False"
"app\api\finance\settlements\route.ts","False","True","False"
"app\api\finance\transactions\route.ts","False","False","False"
"app\api\finance\wallet\route.ts","True","True","False"
"app\api\health\route.ts","False","False","False"
"app\api\invoices\route.ts","True","True","False"
"app\api\invoices\pdf\route.ts","True","True","False"
"app\api\marketplace\listings\route.ts","False","False","False"
"app\api\marketplace\search\route.ts","False","False","False"
"app\api\marketplace\twin\route.ts","False","False","False"
"app\api\notifications\route.ts","False","False","False"
"app\api\payments\create-order\route.ts","True","True","True"
"app\api\payments\verify\route.ts","True","True","True"
"app\api\payments\webhook\route.ts","False","False","True"
"app\api\penalties\route.ts","True","True","False"
"app\api\pricing\packages\route.ts","True","True","False"
"app\api\pricing\rules\route.ts","True","True","False"
"app\api\pricing\vehicles\route.ts","True","True","False"
"app\api\refunds\route.ts","True","True","False"
"app\api\reports\route.ts","False","False","False"
"app\api\security\audit\route.ts","False","False","True"
"app\api\security\permissions\route.ts","False","True","False"
"app\api\security\sessions\route.ts","True","False","False"
"app\api\support\tickets\route.ts","True","True","False"
"app\api\support\tickets\[id]\route.ts","True","True","False"
"app\api\support\tickets\[id]\escalations\route.ts","True","True","False"
"app\api\support\tickets\[id]\messages\route.ts","True","True","False"
"app\api\support\tickets\[id]\sla\route.ts","True","True","False"
"app\api\vehicles\route.ts","False","False","False"
"app\api\vendors\route.ts","False","True","False"
"app\api\vendors\bookings\route.ts","False","False","False"
"app\api\vendors\dashboard\route.ts","False","False","False"
"app\api\vendors\drivers\route.ts","False","False","False"
"app\api\vendors\profile\route.ts","False","False","False"
"app\api\vendors\settlements\route.ts","False","True","False"
"app\api\vendors\smart-return\route.ts","False","False","False"
"app\api\vendors\vehicles\route.ts","False","False","False"
"app\api\vendors\wallet\route.ts","True","True","False"
