"Rule","Requirement","Status","EvidenceCoverage","Evidence"
"C-01","REST APIs","POSSIBLE-GAP","0%",""
"C-02","RBAC every module/API","POSSIBLE-GAP","0%",""
"C-03","Audit First","POSSIBLE-GAP","0%",""
"C-04","Archive / soft delete","POSSIBLE-GAP","0%",""
"C-05","Event-driven architecture","POSSIBLE-GAP","0%",""
"C-06","Security","POSSIBLE-GAP","0%",""
"C-07","Authentication","POSSIBLE-GAP","0%",""
"C-08","Notification channels","POSSIBLE-GAP","0%",""
"C-09","Finance ledger","POSSIBLE-GAP","0%",""
"C-10","Payment methods","POSSIBLE-GAP","0%",""
"C-11","AI governance","POSSIBLE-GAP","0%",""
"C-12","Automation","POSSIBLE-GAP","0%",""
"C-13","Monitoring","POSSIBLE-GAP","0%",""
"C-14","Backups / DR","POSSIBLE-GAP","0%",""
"C-15","Testing","POSSIBLE-GAP","0%",""
"C-16","Environments","POSSIBLE-GAP","0%",""
"C-17","Documentation","POSSIBLE-GAP","0%",""
